Your task is to create RDF triples in the Turtle format for entities described in a table in the Wikitext format, given an example table from the Wikipedia page "List of books banned by governments" and triples extracted from that example table. Only use information which is directly stated in the table. Return all triples for all entities that you can find, I do not want a partial representation. Do not return placeholders, only complete objects. If you provide a URL, the URL must be stated in the table.
---
This is the example table:

{| class="wikitable "
|-
! width=170pt|Title
! width=120pt|Author(s)
! Year published
!Year Banned
!Year Unbanned 
! Type
! Notes
|-
| ''[[Areopagitica]]''
| [[John Milton]]
| 1644
|1644
|1695
| Essay
| Banned in the [[Kingdom of England]] for political reasons.<ref>Karolides et al., pp. 16–20</ref>
|-
|''[[Fanny Hill]]'' or ''Memoirs of a Woman of Pleasure''
|[[John Cleland]]
|1748
 wdt:P495 <https://en.wikipedia.org/wiki/United_Kingdom_of_Great_Britain_and_Ireland> ;
 wdt:P793 <https://en.wikipedia.org/wiki/Obscenity_trial_of_Ulysses_in_The_Little_Review> ;
 wdt:P495 <https://en.wikipedia.org/wiki/United_States> ;
 wdt:P747 wd:Q28599525 ;
 wdt:P674 <https://en.wikipedia.org/wiki/George_William_Russell> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Simon_Dedalus> ;
 wdt:P747 wd:Q33182025 ;
 wdt:P527 wd:Q56103050 ;
 wdt:P527 wd:Q56103127 ;
 wdt:P527 wd:Q56103204 ;
 wdt:P527 wd:Q56103019 ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Ulysses_(1967_film)> ;
 wdt:P527 wd:Q56102932 ;
 wdt:P527 wd:Q56103151 ;
 wdt:P5008 <https://en.wikipedia.org/wiki/Wikipedia:Vital_articles/Level/4> ;
 wdt:P407 <https://en.wikipedia.org/wiki/English_language> ;
 wdt:P50 <https://en.wikipedia.org/wiki/James_Joyce> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Joseph_Nannetti> ;
 wdt:P674 <https://en.wikipedia.org/wiki/David_Sheehy> ;
 wdt:P910 <https://en.wikipedia.org/wiki/Category:Ulysses_(novel)> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Stephen_Dedalus> ;
 wdt:P953 <https://gutenberg.org/ebooks/4300> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Martin_Cunningham_(character)> ;
 wdt:P6216 <https://en.wikipedia.org/wiki/Public_domain> ;
 wdt:P674 <https://en.wikipedia.org/wiki/William_Kirkpatrick_Magee> ;
 wdt:P840 <https://en.wikipedia.org/wiki/Cabra,_Dublin> ;
 wdt:P674 <https://en.wikipedia.org/wiki/May_Golding_Dedalus> ;
 rdfs:label "Ulysses"@en ;
 wdt:P571 "1914-01-01T00:00:00Z"^^xsd:dateTime ;
 wdt:P136 <https://en.wikipedia.org/wiki/Literary_fiction> ;
 wdt:P136 <https://en.wikipedia.org/wiki/Experimental_literature> ;
 wdt:P840 <https://en.wikipedia.org/wiki/Freeman%27s_Journal> ;
 wdt:P123 <https://en.wikipedia.org/wiki/Sylvia_Beach> ;
 wdt:P840 <https://en.wikipedia.org/wiki/Grafton_Street> ;
 wdt:P155 <https://en.wikipedia.org/wiki/A_Portrait_of_the_Artist_as_a_Young_Man> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Buck_Mulligan> ;
 wdt:P577 "1922-02-02T00:00:00Z"^^xsd:dateTime ;
 wdt:P443 <http://commons.wikimedia.org/wiki/Special:FilePath/LL-Q9610%20%28ben%29-Tahmid-%E0%A6%87%E0%A6%89%E0%A6%B2%E0%A6%BF%E0%A6%B8%E0%A6%BF%E0%A6%B8.wav> ;
 wdt:P7937 <https://en.wikipedia.org/wiki/Novel> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Molly_Bloom> ;
 wdt:P747 wd:Q28599849 ;
 wdt:P1433 <https://en.wikipedia.org/wiki/The_Little_Review> ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Bloom_(2003_film)> ;
 wdt:P747 wd:Q28599496 ;
 wdt:P747 wd:Q28599523 ;
 wdt:P747 wd:Q28599520 ;
 wdt:P747 wd:Q28599521 ;
 wdt:P941 <https://en.wikipedia.org/wiki/Odyssey> ;
 wdt:P2635 "18"^^xsd:decimal ;
 wdt:P527 wd:Q28647765 ;
 wdt:P674 <https://en.wikipedia.org/wiki/Thomas_William_Lyster> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Leopold_Bloom> ;
 wdt:P840 <https://en.wikipedia.org/wiki/Glasnevin_Cemetery> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Richard_Irvine_Best> ;
 wdt:P1922 "Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed."@en ;
 wdt:P674 <https://en.wikipedia.org/wiki/Milly_Bloom> ;
 wdt:P674 wd:Q28601692 ;
 wdt:P144 <https://en.wikipedia.org/wiki/Odyssey> ;
 wdt:P136 <https://en.wikipedia.org/wiki/Literary_modernism> ;
 wdt:P674 wd:Q28575591 ;
 wdt:P840 <https://en.wikipedia.org/wiki/Davy_Byrne%27s_pub> ;
 wdt:P136 <https://en.wikipedia.org/wiki/Autobiography> ;
 wdt:P674 <https://en.wikipedia.org/wiki/Garrett_Deasy> .

<https://example.org/resource/Lady_Chatterley's_Lover> wdt:P4969 <https://en.wikipedia.org/wiki/Lady_Chatterley_(TV_serial)> ;
 wdt:P3893 "2024-01-01T00:00:00Z"^^xsd:dateTime ;
 wdt:P136 <https://en.wikipedia.org/wiki/Erotic_novel> ;
 wdt:P166 <https://en.wikipedia.org/wiki/Le_Monde%27s_100_Books_of_the_Century> ;
 wdt:P953 <https://gutenberg.net.au/ebooks01/0100181h.html> ;
 wdt:P1476 "Lady Chatterley's Lover"@en ;
 wdt:P31 wd:Q47461344 ;
 wdt:P577 "1928-01-01T00:00:00Z"^^xsd:dateTime ;
 wdt:P407 <https://en.wikipedia.org/wiki/English_language> ;
 wdt:P495 <https://en.wikipedia.org/wiki/England> ;
 wdt:P4969 wd:Q104894540 ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Lady_Chatterley%27s_Lover_(1981_film)> ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Lady_Chatterley%27s_Lover_(1955_film)> ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Lady_Chatterley%27s_Lover_(2022_film)> ;
 rdfs:label "Lady Chatterley's Lover"@en ;
 wdt:P910 wd:Q15410319 ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Lady_Chatterley%27s_Lover_(2015_film)> ;
 wdt:P18 <http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20chatterley%27s%20lover%201959%20US%20unexpurgated%20edition.jpg> ;
 wdt:P4969 <https://en.wikipedia.org/wiki/Lady_Chatterley_(film)> ;
 wdt:P155 <https://en.wikipedia.org/wiki/John_Thomas_and_Lady_Jane> ;
 wdt:P50 <https://en.wikipedia.org/wiki/D._H._Lawrence> ;
 wdt:P747 wd:Q56483003 .
---
These are the labels of the properties:

wdt:P50 -> author
wdt:P1476 -> title
wdt:P136 -> genre
wdt:P407 -> language of work or name
wdt:P6216 -> copyright status
wdt:P495 -> country of origin
wdt:P5008 -> on focus list of Wikimedia project
wdt:P18 -> image
wdt:P921 -> main subject
wdt:P1343 -> described by source
wdt:P577 -> publication date
wdt:P31 -> instance of
wdt:P4969 -> derivative work
wdt:P7937 -> form of creative work
wdt:P840 -> narrative location
wdt:P953 -> full work available at URL
wdt:P747 -> has edition or translation
wdt:P275 -> copyright license
wdt:P527 -> has part(s)
wdt:P674 -> characters
wdt:P156 -> followed by
wdt:P793 -> significant event
wdt:P3132 -> last line
wdt:P166 -> award received
wdt:P2408 -> set in period
wdt:P123 -> publisher
wdt:P910 -> topic's main category
wdt:P571 -> inception
wdt:P155 -> follows
wdt:P443 -> pronunciation audio
wdt:P1433 -> published in
wdt:P941 -> inspired by
wdt:P2635 -> number of parts of this work
wdt:P1922 -> first line
wdt:P144 -> based on
wdt:P3893 -> public domain date.
---
These are the labels of the objects:

wd:Q7725634 -> literary work
wd:Q10318944 -> LGBT literature
wd:Q107407415 -> Rights of Man
wd:Q56103091 -> Oxen of the Sun
wd:Q28602262 -> Martha Clifford
wd:Q28602472 -> C. P. M'Coy
wd:Q104191512 -> Ulysses (1935)
wd:Q28601860 -> #7 Eccles street
wd:Q15996608 -> Ulysses (2004 German translation)
wd:Q19020726 -> Ulysses
wd:Q28601624 -> Nestor
wd:Q28601800 -> Calypso
wd:Q28602572 -> Hades
wd:Q28602745 -> Aeolus
wd:Q121485273 -> The Cast of Characters: A Reading of "Ulysses"
wd:Q28601581 -> Telemachus
wd:Q28657069 -> Scylla and Charybdis
wd:Q28709812 -> Wandering Rocks
wd:Q28601724 -> Proteus
wd:Q38138028 -> Penelope
wd:Q28599480 -> Ulysses (1986)
wd:Q28599531 -> Ulysses (1984)
wd:Q28602222 -> Lotus-eaters
wd:Q28599525 -> Ulysses (1961)
wd:Q33182025 -> Iliada
wd:Q56103050 -> Circe
wd:Q56103127 -> Nausikaa
wd:Q56103204 -> Sirens
wd:Q56103019 -> Eumaeus
wd:Q56102932 -> Ithaca
wd:Q56103151 -> Cyclops
wd:Q28599849 -> Ulysses (2004)
wd:Q28599496 -> Ulysses (1932)
wd:Q28599523 -> Ulysses (1960)
wd:Q28599520 -> Ulysses (1934)
wd:Q28599521 -> Ulysses (1936)
wd:Q28647765 -> Lestrygonians
wd:Q28601692 -> Haines
wd:Q28575591 -> Tisdall Farrell
wd:Q47461344 -> written work
wd:Q104894540 -> Q104894540
wd:Q15410319 -> Category:Lady Chatterley's Lover
wd:Q56483003 -> L'amante di Lady Chatterley.
---
This is the table for which you should extract RDF triples:

{| class="wikitable "
|-
! width=170pt|Title
! width=120pt|Author(s)
! Year published
!Year Banned
!Year Unbanned 
! Type
! Notes
|-
| ''Despised and Rejected''
| [[Rose Laure Allatini]] (under the pseudonym A. T. Fitzroy)
| 1918
|1918
|1975<ref>{{Cite web|url=http://www.librarything.com/work/498137 |title=Despised and Rejected by A.T. Fitzroy}}</ref>
| Novel
| Banned under the UK's [[Defence of the Realm Act 1914|Defence of the Realm Act]] for criticizing Britain's involvement in [[World War I]], and for sympathetically depicting male [[homosexuality]].<ref>{{cite book|author=Angela K. Smith|title=The Second Battlefield: Women, Modernism and the First World War|url=https://books.google.com/books?id=_JR368KHzHMC&pg=PA155|year=2000|publisher=Manchester University Press|isbn=978-0-7190-5301-6|pages=155}}</ref>
|-
| ''Lord Horror''
| [[David Britton]]
| 1990
|1991
|1992
| Novel
| Banned in England in 1991 where it was found obscene; it is currently the last book to be banned in the UK. The judge ordered the remaining print run to be destroyed. The ban was lifted in the Appeal Court in July 1992 but the book remains out of print.<ref>Nick Hubble, Philip Tew, Leigh Wilson, ''The 1990s: A Decade of Contemporary British Fiction'', Bloomsbury Publishing, 2015
{{ISBN|9781474242424}} (p. 127)</ref>
|-
| ''Kill or Get Killed''
| Rex Applegate
| 1976
|*Unknown*
|*Unknown*
| Instructional
| Criminal due to containing information useful to terrorists.<ref name="jewish_times_2021-03-23" /><ref name="bbc_news-2021-03-23" />
|-
| ''Put 'Em Down. Take 'Em Out. Knife Fighting Techniques From Folsom Prison''
| Don Pentecost
|*Unknown*
|*Unknown*
|*Unknown*
| Instructional
| Criminal due to containing information useful to terrorists.<ref name="jewish_times_2021-03-23" /><ref name="bbc_news-2021-03-23" /> |}
---
